iter	Passed	Remaining
0	58	11642
1	65	6499
2	72	4746
3	79	3881
4	85	3342
5	93	3007
6	100	2773
7	104	2511
8	108	2304
9	112	2128
10	117	2016
11	122	1912
12	125	1805
13	130	1727
14	136	1678
15	142	1639
16	146	1579
17	150	1517
18	155	1480
19	159	1434
20	162	1387
21	166	1345
22	170	1309
23	173	1272
24	177	1240
25	182	1220
26	186	1193
27	189	1164
28	192	1137
29	197	1121
30	201	1100
31	205	1077
32	208	1054
33	214	1047
34	219	1032
35	222	1013
36	226	995
37	229	977
38	232	960
39	236	944
40	241	934
41	245	923
42	248	908
43	253	897
44	259	893
45	265	889
46	272	888
47	279	885
48	285	878
49	289	867
50	295	862
51	298	850
52	304	845
53	309	836
54	315	830
55	319	820
56	323	811
57	328	805
58	332	795
59	338	790
60	343	783
61	349	778
62	353	768
63	357	759
64	363	754
65	367	747
66	372	739
67	375	729
68	379	719
69	383	711
70	386	702
71	391	696
72	394	687
73	399	679
74	402	670
75	406	662
76	409	654
77	413	646
78	416	637
79	420	630
80	425	624
81	429	617
82	432	609
83	435	602
84	439	594
85	442	586
86	447	580
87	451	574
88	454	567
89	458	560
90	462	553
91	469	550
92	472	544
93	478	539
94	483	534
95	487	527
96	490	520
97	494	514
98	497	507
99	501	501
100	505	495
101	510	490
102	514	484
103	517	477
104	520	471
105	525	465
106	528	459
107	531	453
108	536	447
109	541	442
110	544	436
111	547	430
112	550	424
113	553	417
114	557	411
115	560	406
116	567	402
117	570	396
118	573	390
119	577	385
120	581	379
121	584	373
122	588	368
123	591	362
124	594	356
125	598	351
126	602	346
127	606	341
128	609	335
129	612	329
130	616	324
131	619	319
132	625	314
133	629	309
134	632	304
135	635	298
136	639	294
137	642	288
138	646	283
139	650	278
140	655	274
141	658	269
142	664	264
143	667	259
144	671	254
145	675	249
146	679	244
147	683	240
148	687	235
149	690	230
150	694	225
151	697	220
152	700	215
153	704	210
154	708	205
155	713	201
156	717	196
157	721	191
158	724	186
159	728	182
160	731	177
161	734	172
162	738	167
163	742	162
164	746	158
165	750	153
166	753	148
167	756	144
168	760	139
169	763	134
170	767	130
171	772	125
172	776	121
173	779	116
174	782	111
175	785	107
176	789	102
177	792	97
178	795	93
179	801	89
180	805	84
181	808	79
182	812	75
183	815	70
184	818	66
185	822	61
186	828	57
187	833	53
188	838	48
189	844	44
190	847	39
191	851	35
192	854	31
193	864	26
194	867	22
195	871	17
196	874	13
197	877	8
198	881	4
199	885	0
